CustomerID,Age,Income,LoanAmount,TenureMonths,InterestRate,MissedPayments,DelaysDays,PartialPayments,InteractionAttempts,SentimentScore,ResponseTimeHours,AppUsageFrequency,WebsiteVisits,Complaints,Target,Location_Suburban,Location_Urban,EmploymentStatus_Self-Employed,EmploymentStatus_Student,EmploymentStatus_Unemployed,LoanType_Business,LoanType_Education,LoanType_Home,LoanType_Personal,Debt-to-Income Ratio,Estimated EMI,Payment-to-Income Ratio,Delinquency Rate,Irregular Payment Habits,Proportion of Delayed Days,Interaction Inefficiency,Digital Engagement Score,Problem Indicator,Risk Score
CUST0001,59,1121522,985115,7,13.6,3,151,2,2,-0.74,17.94,0.52,19,0,1,1,0,1,0,0,1,0,0,0,0.8783733176879277,151895.35095238095,1.62524160152772,0.42857142857142855,1,21.571428571428573,5.5555555555555545,7.912000000000001,0,0.8781785714285714
CUST0002,49,1784166,717304,34,14.38,2,47,1,2,-0.77,60.48,0.76,14,2,1,0,1,0,1,0,0,1,0,0,0.40203882374173705,29692.86940392157,0.19970923829232193,0.058823529411764705,1,1.3823529411764706,6.06060606060606,6.056000000000001,1,0.94525
CUST0003,35,1053938,889319,9,9.61,3,68,1,9,-0.9,27.38,0.33,32,0,1,0,0,0,1,0,0,0,0,1,0.8438058026183703,105935.18521388888,1.2061641411227857,0.3333333333333333,1,7.555555555555555,44.999999999999986,12.998000000000001,0,0.6762599206349205
CUST0004,63,1814021,655730,6,9.2,3,169,4,1,0.13,38.55,0.38,16,0,1,0,1,0,1,0,1,0,0,0,0.36147872599049297,114315.59666666666,0.7562134947721112,0.5,1,28.166666666666668,0.8130081300813008,6.628,0,0.8859801587301587
CUST0005,28,1827781,99847,24,12.87,2,118,2,0,-0.51,67.85,0.93,19,0,0,1,0,1,0,0,0,0,0,1,0.054627441690224376,5231.150741666666,0.034344272590644064,0.08333333333333333,1,4.916666666666667,0.0,8.158000000000001,0,0.24960714285714286
CUST0006,41,1472386,108653,31,10.16,2,44,2,9,0.47,49.21,0.21,12,2,1,0,1,0,0,0,0,0,0,0,0.07379382852051025,4424.864217204301,0.03606280595336523,0.06451612903225806,1,1.4193548387096775,5.732484076433121,4.926000000000001,1,0.9441666666666667
CUST0007,59,1345222,791432,30,7.24,4,124,2,0,0.37,46.66,0.1,43,1,1,1,0,0,0,0,0,1,0,0,0.5883281718556491,31156.03973333333,0.2779262283846086,0.13333333333333333,1,4.133333333333334,0.0,17.259999999999998,1,0.5905833333333333
CUST0008,39,545266,827949,15,8.9,1,13,2,3,-0.36,51.38,0.34,23,0,0,1,0,1,0,0,0,0,0,1,1.5184313711106139,61337.22175,1.3498854889173357,0.06666666666666667,1,0.8666666666666667,4.0540540540540535,9.404000000000002,0,0.023148809523809523
CUST0009,43,1738601,368766,58,10.06,1,156,2,2,-0.65,66.14,0.75,46,1,0,0,0,0,0,0,1,0,0,0,0.21210502007073503,9449.52278275862,0.06522156227513008,0.017241379310344827,1,2.689655172413793,4.444444444444444,18.85,1,0.11988095238095237
CUST0010,31,680703,339954,20,8.99,2,133,0,4,-0.8,18.27,0.63,36,0,0,1,0,1,0,0,0,0,0,0,0.49941604488301067,19544.52205,0.34454712936478904,0.1,0,6.65,13.333333333333332,14.778,0,0.11944859307359307
